Player,Year,Team
Tevin Coleman,2019,san-francisco-49ers
Jon Condo,2019,san-francisco-49ers
Sheldon Day,2019,san-francisco-49ers
Ross Dwelley,2019,san-francisco-49ers
Antone Exum,2019,san-francisco-49ers
Demetrius Flannigan-Fowles,2019,san-francisco-49ers
Dee Ford,2019,san-francisco-49ers
Ben Garland,2019,san-francisco-49ers
Jimmy Garoppolo,2019,san-francisco-49ers
Kevin Givens,2019,san-francisco-49ers
Marquise Goodwin,2019,san-francisco-49ers
Robbie Gould,2019,san-francisco-49ers
Dre Greenlaw,2019,san-francisco-49ers
Marcell Harris,2019,san-francisco-49ers
Tim Harris,2019,san-francisco-49ers
Daniel Helm,2019,san-francisco-49ers
Malik Henry,2019,san-francisco-49ers
Colin Holba,2019,san-francisco-49ers
Will Holden,2019,san-francisco-49ers
Jalen Hurd,2019,san-francisco-49ers
Richie James,2019,san-francisco-49ers
Dontae Johnson,2019,san-francisco-49ers
D.J. Jones,2019,san-francisco-49ers
Jaryd Jones-Smith,2019,san-francisco-49ers
Kyle Juszczyk,2019,san-francisco-49ers
Jermaine Kelly,2019,san-francisco-49ers
George Kittle,2019,san-francisco-49ers
Andrew Lauderdale,2019,san-francisco-49ers
Elijah Lee,2019,san-francisco-49ers
Jordan Matthews,2019,san-francisco-49ers
Mike McGlinchey,2019,san-francisco-49ers
Jerick McKinnon,2019,san-francisco-49ers
Chase McLaughlin,2019,san-francisco-49ers
Earl Mitchell,2019,san-francisco-49ers
Damontre Moore,2019,san-francisco-49ers
Tarvarius Moore,2019,san-francisco-49ers
Emmanuel Moseley,2019,san-francisco-49ers
Raheem Mostert,2019,san-francisco-49ers
Nick Mullens,2019,san-francisco-49ers
Kyle Nelson,2019,san-francisco-49ers
Mark Nzeocha,2019,san-francisco-49ers
Mike Person,2019,san-francisco-49ers
Dante Pettis,2019,san-francisco-49ers
Shawn Poindexter,2019,san-francisco-49ers
Ryan Pope,2019,san-francisco-49ers
D.J. Reed,2019,san-francisco-49ers
Ross Reynolds,2019,san-francisco-49ers
Weston Richburg,2019,san-francisco-49ers
Christian Sam,2019,san-francisco-49ers
Deebo Samuel Sr.,2019,san-francisco-49ers
Garrison Sanborn,2019,san-francisco-49ers
Emmanuel Sanders,2019,san-francisco-49ers
Richard Sherman,2019,san-francisco-49ers
Justin Skule,2019,san-francisco-49ers
Kaden Smith,2019,san-francisco-49ers
Ray Smith,2019,san-francisco-49ers
Joe Staley,2019,san-francisco-49ers
Kentavius Street,2019,san-francisco-49ers
Teez Tabor,2019,san-francisco-49ers
Jaquiski Tartt,2019,san-francisco-49ers
Jullian Taylor,2019,san-francisco-49ers
Trent Taylor,2019,san-francisco-49ers
Jacob Thieneman,2019,san-francisco-49ers
Chris Thompson,2019,san-francisco-49ers
Solomon Thomas,2019,san-francisco-49ers
Levine Toilolo,2019,san-francisco-49ers
Laken Tomlinson,2019,san-francisco-49ers
Jeremiah Valoaga,2019,san-francisco-49ers
Jason Verrett,2019,san-francisco-49ers
Jimmie Ward,2019,san-francisco-49ers
Fred Warner,2019,san-francisco-49ers
K'Waun Williams,2019,san-francisco-49ers
Jeff Wilson,2019,san-francisco-49ers
Mitch Wishnowsky,2019,san-francisco-49ers
Ahkello Witherspoon,2019,san-francisco-49ers
Sam Young,2019,san-francisco-49ers
Anthony Zettel,2019,san-francisco-49ers
Brandon Aiyuk,2020,san-francisco-49ers
Kwon Alexander,2020,san-francisco-49ers
Brian Allen,2020,san-francisco-49ers
Kiko Alonso,2020,san-francisco-49ers
Azeez Al-Shaair,2020,san-francisco-49ers
Christian Angulo,2020,san-francisco-49ers
Ezekiel Ansah,2020,san-francisco-49ers
Arik Armstead,2020,san-francisco-49ers
Tavon Austin,2020,san-francisco-49ers
Alex Barrett,2020,san-francisco-49ers
C.J. Beathard,2020,san-francisco-49ers
Travis Benjamin,2020,san-francisco-49ers
Tony Bergstrom,2020,san-francisco-49ers
Ronald Blair,2020,san-francisco-49ers
Briean Boddy-Calhoun,2020,san-francisco-49ers
Nick Bosa,2020,san-francisco-49ers
Kendrick Bourne,2020,san-francisco-49ers
Jake Brendel,2020,san-francisco-49ers
Daniel Brunskill,2020,san-francisco-49ers
Josiah Coatney,2020,san-francisco-49ers
Matt Cole,2020,san-francisco-49ers
Shon Coleman,2020,san-francisco-49ers
Tevin Coleman,2020,san-francisco-49ers
Tom Compton,2020,san-francisco-49ers
Cody Conway,2020,san-francisco-49ers
River Cracraft,2020,san-francisco-49ers
Johnathan Cyprien,2020,san-francisco-49ers
Darrion Daniels,2020,san-francisco-49ers
Ross Dwelley,2020,san-francisco-49ers
Chris Edwards,2020,san-francisco-49ers
Chris Finke,2020,san-francisco-49ers
Demetrius Flannigan-Fowles,2020,san-francisco-49ers
Dee Ford,2020,san-francisco-49ers
Tyler Gaffney,2020,san-francisco-49ers
Ben Garland,2020,san-francisco-49ers
Jimmy Garoppolo,2020,san-francisco-49ers
Kevin Givens,2020,san-francisco-49ers
Robbie Gould,2020,san-francisco-49ers
Hroniss Grasu,2020,san-francisco-49ers
Dre Greenlaw,2020,san-francisco-49ers
Jonas Griffith,2020,san-francisco-49ers
Daeshon Hall,2020,san-francisco-49ers
Chase Harrell,2020,san-francisco-49ers
Marcell Harris,2020,san-francisco-49ers
Tim Harris,2020,san-francisco-49ers
JaMycal Hasty,2020,san-francisco-49ers
Daniel Helm,2020,san-francisco-49ers
Willie Henry,2020,san-francisco-49ers
Josh Hokit,2020,san-francisco-49ers
Colin Holba,2020,san-francisco-49ers
Jalen Hurd,2020,san-francisco-49ers
Kerry Hyder,2020,san-francisco-49ers
Richie James,2020,san-francisco-49ers
Jauan Jennings,2020,san-francisco-49ers
Josh Johnson,2020,san-francisco-49ers
Dontae Johnson,2020,san-francisco-49ers
D.J. Jones,2020,san-francisco-49ers
Dion Jordan,2020,san-francisco-49ers
Kyle Juszczyk,2020,san-francisco-49ers
Drew Kaser,2020,san-francisco-49ers
Javon Kinlaw,2020,san-francisco-49ers
George Kittle,2020,san-francisco-49ers
Jordan Matthews,2020,san-francisco-49ers
Jared Mayden,2020,san-francisco-49ers
Mike McGlinchey,2020,san-francisco-49ers
Jerick McKinnon,2020,san-francisco-49ers
Colton McKivitz,2020,san-francisco-49ers
Tarvarius Moore,2020,san-francisco-49ers
Emmanuel Moseley,2020,san-francisco-49ers
Raheem Mostert,2020,san-francisco-49ers
Parnell Motley,2020,san-francisco-49ers
Nick Mullens,2020,san-francisco-49ers
Kai Nacua,2020,san-francisco-49ers
Aaron Neary,2020,san-francisco-49ers
Kyle Nelson,2020,san-francisco-49ers
Mark Nzeocha,2020,san-francisco-49ers
Taybor Pepper,2020,san-francisco-49ers
Dante Pettis,2020,san-francisco-49ers
Shawn Poindexter,2020,san-francisco-49ers
Jordan Reed,2020,san-francisco-49ers
Ross Reynolds,2020,san-francisco-49ers
Weston Richburg,2020,san-francisco-49ers
Josh Rosen,2020,san-francisco-49ers
Deebo Samuel Sr.,2020,san-francisco-49ers
Mohamed Sanu,2020,san-francisco-49ers
Dakoda Shepley,2020,san-francisco-49ers
Richard Sherman,2020,san-francisco-49ers
Adam Shuler,2020,san-francisco-49ers
Justin Skule,2020,san-francisco-49ers
Kentavius Street,2020,san-francisco-49ers
William Sweet,2020,san-francisco-49ers
Jaquiski Tartt,2020,san-francisco-49ers
Charlie Taumoepeau,2020,san-francisco-49ers
Jamar Taylor,2020,san-francisco-49ers
Jullian Taylor,2020,san-francisco-49ers
Trent Taylor,2020,san-francisco-49ers
Chris Thompson,2020,san-francisco-49ers
Solomon Thomas,2020,san-francisco-49ers
Laken Tomlinson,2020,san-francisco-49ers
Jason Verrett,2020,san-francisco-49ers
Tristan Vizcaino,2020,san-francisco-49ers
Joe Walker,2020,san-francisco-49ers
Austin Walter,2020,san-francisco-49ers
Jimmie Ward,2020,san-francisco-49ers
Fred Warner,2020,san-francisco-49ers
Ken Webster,2020,san-francisco-49ers
Kevin White,2020,san-francisco-49ers
Isaiah Williams,2020,san-francisco-49ers
K'Waun Williams,2020,san-francisco-49ers
Trent Williams,2020,san-francisco-49ers
Jordan Willis,2020,san-francisco-49ers
Jeff Wilson,2020,san-francisco-49ers
Mitch Wishnowsky,2020,san-francisco-49ers
Ahkello Witherspoon,2020,san-francisco-49ers
Charlie Woerner,2020,san-francisco-49ers
Tyrell Adams,2021,san-francisco-49ers
Brandon Aiyuk,2021,san-francisco-49ers
Azeez Al-Shaair,2021,san-francisco-49ers
Arik Armstead,2021,san-francisco-49ers
Aaron Banks,2021,san-francisco-49ers
Luq Barcoo,2021,san-francisco-49ers
Alex Barrett,2021,san-francisco-49ers
Travis Benjamin,2021,san-francisco-49ers
Curtis Bolton,2021,san-francisco-49ers
Nick Bosa,2021,san-francisco-49ers
Tyler Bray,2021,san-francisco-49ers
Jake Brendel,2021,san-francisco-49ers
Daniel Brunskill,2021,san-francisco-49ers
Trenton Cannon,2021,san-francisco-49ers
Tom Compton,2021,san-francisco-49ers
River Cracraft,2021,san-francisco-49ers
Darrion Daniels,2021,san-francisco-49ers
Darqueze Dennard,2021,san-francisco-49ers
Ross Dwelley,2021,san-francisco-49ers
Samson Ebukam,2021,san-francisco-49ers
Christian Elliss,2021,san-francisco-49ers
Demetrius Flannigan-Fowles,2021,san-francisco-49ers
Dee Ford,2021,san-francisco-49ers
Devin Funchess,2021,san-francisco-49ers
Jimmy Garoppolo,2021,san-francisco-49ers
Nate Gerry,2021,san-francisco-49ers
Kevin Givens,2021,san-francisco-49ers
Robbie Gould,2021,san-francisco-49ers
Dre Greenlaw,2021,san-francisco-49ers
Alfredo Gutierrez,2021,san-francisco-49ers
Jon Halapio,2021,san-francisco-49ers
Davontae Harris,2021,san-francisco-49ers
Marcell Harris,2021,san-francisco-49ers
JaMycal Hasty,2021,san-francisco-49ers
Brian Hill,2021,san-francisco-49ers
Lavert Hill,2021,san-francisco-49ers
Josh Hokit,2021,san-francisco-49ers
Tanner Hudson,2021,san-francisco-49ers
Talanoa Hufanga,2021,san-francisco-49ers
Jalen Hurd,2021,san-francisco-49ers
Maurice Hurst,2021,san-francisco-49ers
Richie James,2021,san-francisco-49ers
Tony Jefferson,2021,san-francisco-49ers
Jauan Jennings,2021,san-francisco-49ers
Dontae Johnson,2021,san-francisco-49ers
Kerryon Johnson,2021,san-francisco-49ers
D.J. Jones,2021,san-francisco-49ers
Kyle Juszczyk,2021,san-francisco-49ers
Corbin Kaufusi,2021,san-francisco-49ers
Senio Kelemete,2021,san-francisco-49ers
Zach Kerr,2021,san-francisco-49ers
Arden Key,2021,san-francisco-49ers
Javon Kinlaw,2021,san-francisco-49ers
Dre Kirkpatrick,2021,san-francisco-49ers
George Kittle,2021,san-francisco-49ers
Trey Lance,2021,san-francisco-49ers
Deommodore Lenoir,2021,san-francisco-49ers
Austin Mack,2021,san-francisco-49ers
Alex Mack,2021,san-francisco-49ers
Justin March,2021,san-francisco-49ers
Jordan Matthews,2021,san-francisco-49ers
Jared Mayden,2021,san-francisco-49ers
Mike McGlinchey,2021,san-francisco-49ers
Colton McKivitz,2021,san-francisco-49ers
Doug Middleton,2021,san-francisco-49ers
Wyatt Miller,2021,san-francisco-49ers
Elijah Mitchell,2021,san-francisco-49ers
Jaylon Moore,2021,san-francisco-49ers
Tarvarius Moore,2021,san-francisco-49ers
Emmanuel Moseley,2021,san-francisco-49ers
Raheem Mostert,2021,san-francisco-49ers
Kai Nacua,2021,san-francisco-49ers
Josh Norman,2021,san-francisco-49ers
Mark Nzeocha,2021,san-francisco-49ers
Charles Omenihu,2021,san-francisco-49ers
Will Parks,2021,san-francisco-49ers
Jacques Patrick,2021,san-francisco-49ers
Taybor Pepper,2021,san-francisco-49ers
Curtis Robinson,2021,san-francisco-49ers
Deebo Samuel Sr.,2021,san-francisco-49ers
Mohamed Sanu,2021,san-francisco-49ers
Trey Sermon,2021,san-francisco-49ers
Trent Sherfield,2021,san-francisco-49ers
Buster Skrine,2021,san-francisco-49ers
Justin Skule,2021,san-francisco-49ers
Chris Slayton,2021,san-francisco-49ers
Joey Slye,2021,san-francisco-49ers
Saivion Smith,2021,san-francisco-49ers
Kentavius Street,2021,san-francisco-49ers
Nate Sudfeld,2021,san-francisco-49ers
Jaquiski Tartt,2021,san-francisco-49ers
Ambry Thomas,2021,san-francisco-49ers
Chris Thompson,2021,san-francisco-49ers
Laken Tomlinson,2021,san-francisco-49ers
Jason Verrett,2021,san-francisco-49ers
Dee Virgin,2021,san-francisco-49ers
Colby Wadman,2021,san-francisco-49ers
Jimmie Ward,2021,san-francisco-49ers
Fred Warner,2021,san-francisco-49ers
Austin Watkins Jr.,2021,san-francisco-49ers
Connor Wedington,2021,san-francisco-49ers
K'Waun Williams,2021,san-francisco-49ers
Trent Williams,2021,san-francisco-49ers
Jordan Willis,2021,san-francisco-49ers
Jarrod Wilson,2021,san-francisco-49ers
Jeff Wilson,2021,san-francisco-49ers
Tavon Wilson,2021,san-francisco-49ers
Ryan Winslow,2021,san-francisco-49ers
Mitch Wishnowsky,2021,san-francisco-49ers
Charlie Woerner,2021,san-francisco-49ers
Eddie Yarbrough,2021,san-francisco-49ers
Isaiah Zuber,2021,san-francisco-49ers
Brandon Aiyuk,2022,san-francisco-49ers
Azeez Al-Shaair,2022,san-francisco-49ers
Arik Armstead,2022,san-francisco-49ers
Aaron Banks,2022,san-francisco-49ers
Alex Barrett,2022,san-francisco-49ers
Kurt Benkert,2022,san-francisco-49ers
Nick Bosa,2022,san-francisco-49ers
Jake Brendel,2022,san-francisco-49ers
Daniel Brunskill,2022,san-francisco-49ers
Spencer Burford,2022,san-francisco-49ers
Oren Burks,2022,san-francisco-49ers
Tevin Coleman,2022,san-francisco-49ers
Kalia Davis,2022,san-francisco-49ers
Tyrion Davis-Price,2022,san-francisco-49ers
Ross Dwelley,2022,san-francisco-49ers
Michael Dwumfour,2022,san-francisco-49ers
Jacob Eason,2022,san-francisco-49ers
Samson Ebukam,2022,san-francisco-49ers
Demetrius Flannigan-Fowles,2022,san-francisco-49ers
Troy Fumagalli,2022,san-francisco-49ers
Jimmy Garoppolo,2022,san-francisco-49ers
Tashaun Gipson,2022,san-francisco-49ers
Kevin Givens,2022,san-francisco-49ers
Robbie Gould,2022,san-francisco-49ers
Danny Gray,2022,san-francisco-49ers
Dre Greenlaw,2022,san-francisco-49ers
Alfredo Gutierrez,2022,san-francisco-49ers
Blake Hance,2022,san-francisco-49ers
Tayler Hawkins,2022,san-francisco-49ers
Ka'dar Hollman,2022,san-francisco-49ers
Talanoa Hufanga,2022,san-francisco-49ers
Maurice Hurst,2022,san-francisco-49ers
Kerry Hyder,2022,san-francisco-49ers
Keith Ismael,2022,san-francisco-49ers
Drake Jackson,2022,san-francisco-49ers
Janoris Jenkins,2022,san-francisco-49ers
Jauan Jennings,2022,san-francisco-49ers
Josh Johnson,2022,san-francisco-49ers
Buddy Johnson,2022,san-francisco-49ers
Dontae Johnson,2022,san-francisco-49ers
Kyle Juszczyk,2022,san-francisco-49ers
Javon Kinlaw,2022,san-francisco-49ers
George Kittle,2022,san-francisco-49ers
Qwuantrezz Knight,2022,san-francisco-49ers
Tyler Kroft,2022,san-francisco-49ers
Trey Lance,2022,san-francisco-49ers
Deommodore Lenoir,2022,san-francisco-49ers
Marlon Mack,2022,san-francisco-49ers
Tay Martin,2022,san-francisco-49ers
Jordan Mason,2022,san-francisco-49ers
Jordan Matthews,2022,san-francisco-49ers
Christian McCaffrey,2022,san-francisco-49ers
Ray-Ray McCloud,2022,san-francisco-49ers
Marcelino McCrary-Ball,2022,san-francisco-49ers
T.Y. McGill,2022,san-francisco-49ers
Mike McGlinchey,2022,san-francisco-49ers
Colton McKivitz,2022,san-francisco-49ers
Elijah Mitchell,2022,san-francisco-49ers
Jaylon Moore,2022,san-francisco-49ers
Tarvarius Moore,2022,san-francisco-49ers
Emmanuel Moseley,2022,san-francisco-49ers
Dazz Newsome,2022,san-francisco-49ers
George Odum,2022,san-francisco-49ers
Charles Omenihu,2022,san-francisco-49ers
Taybor Pepper,2022,san-francisco-49ers
Jason Poe,2022,san-francisco-49ers
Brock Purdy,2022,san-francisco-49ers
Hassan Ridgeway,2022,san-francisco-49ers
Curtis Robinson,2022,san-francisco-49ers
Deebo Samuel Sr.,2022,san-francisco-49ers
Tajae Sharpe,2022,san-francisco-49ers
Sam Sloman,2022,san-francisco-49ers
Willie Snead,2022,san-francisco-49ers
Akeem Spence,2022,san-francisco-49ers
Keaton Sutherland,2022,san-francisco-49ers
Tre Swilling,2022,san-francisco-49ers
Ambry Thomas,2022,san-francisco-49ers
Kemoko Turay,2022,san-francisco-49ers
Malik Turner,2022,san-francisco-49ers
Jason Verrett,2022,san-francisco-49ers
Kary Vincent Jr.,2022,san-francisco-49ers
Charvarius Ward,2022,san-francisco-49ers
Jimmie Ward,2022,san-francisco-49ers
Fred Warner,2022,san-francisco-49ers
Leroy Watson IV,2022,san-francisco-49ers
Connor Wedington,2022,san-francisco-49ers
Trent Williams,2022,san-francisco-49ers
Jordan Willis,2022,san-francisco-49ers
Jeff Wilson,2022,san-francisco-49ers
Mitch Wishnowsky,2022,san-francisco-49ers
Charlie Woerner,2022,san-francisco-49ers
Samuel Womack,2022,san-francisco-49ers
Nick Zakelj,2022,san-francisco-49ers
Brandon Aiyuk,2023,san-francisco-49ers
Brandon Allen,2023,san-francisco-49ers
Arik Armstead,2023,san-francisco-49ers
Aaron Banks,2023,san-francisco-49ers
Alex Barrett,2023,san-francisco-49ers
Ben Bartch,2023,san-francisco-49ers
Robert Beal Jr.,2023,san-francisco-49ers
Ronnie Bell,2023,san-francisco-49ers
Nick Bosa,2023,san-francisco-49ers
Jake Brendel,2023,san-francisco-49ers
Anthony Brown,2023,san-francisco-49ers
Ji'Ayir Brown,2023,san-francisco-49ers
Austin Bryant,2023,san-francisco-49ers
Spencer Burford,2023,san-francisco-49ers
Oren Burks,2023,san-francisco-49ers
Henry Byrd,2023,san-francisco-49ers
Jack Colletto,2023,san-francisco-49ers
Chris Conley,2023,san-francisco-49ers
Sam Darnold,2023,san-francisco-49ers
Marlon Davidson,2023,san-francisco-49ers
Jesse Davis,2023,san-francisco-49ers
Kalia Davis,2023,san-francisco-49ers
Tyrion Davis-Price,2023,san-francisco-49ers
Ross Dwelley,2023,san-francisco-49ers
Jon Feliciano,2023,san-francisco-49ers
Clelin Ferrell,2023,san-francisco-49ers
Demetrius Flannigan-Fowles,2023,san-francisco-49ers
Troy Fumagalli,2023,san-francisco-49ers
Tashaun Gipson,2023,san-francisco-49ers
Kevin Givens,2023,san-francisco-49ers
Jalen Graham,2023,san-francisco-49ers
Danny Gray,2023,san-francisco-49ers
Dre Greenlaw,2023,san-francisco-49ers
Randy Gregory,2023,san-francisco-49ers
Alfredo Gutierrez,2023,san-francisco-49ers
Sebastian Gutierrez,2023,san-francisco-49ers
Kemon Hall,2023,san-francisco-49ers
Javon Hargrave,2023,san-francisco-49ers
Erik Harris,2023,san-francisco-49ers
Tayler Hawkins,2023,san-francisco-49ers
Talanoa Hufanga,2023,san-francisco-49ers
Kerry Hyder,2023,san-francisco-49ers
Drake Jackson,2023,san-francisco-49ers
Shemar Jean-Charles,2023,san-francisco-49ers
Jauan Jennings,2023,san-francisco-49ers
Sebastian Joseph-Day,2023,san-francisco-49ers
Kyle Juszczyk,2023,san-francisco-49ers
Javon Kinlaw,2023,san-francisco-49ers
George Kittle,2023,san-francisco-49ers
Qwuantrezz Knight,2023,san-francisco-49ers
Cameron Latu,2023,san-francisco-49ers
Deommodore Lenoir,2023,san-francisco-49ers
Corey Luciano,2023,san-francisco-49ers
Darrell Luter Jr.,2023,san-francisco-49ers
Ilm Manning,2023,san-francisco-49ers
Tay Martin,2023,san-francisco-49ers
Jordan Mason,2023,san-francisco-49ers
Christian McCaffrey,2023,san-francisco-49ers
Ray-Ray McCloud,2023,san-francisco-49ers
T.Y. McGill,2023,san-francisco-49ers
Colton McKivitz,2023,san-francisco-49ers
Jeremy McNichols,2023,san-francisco-49ers
Elijah Mitchell,2023,san-francisco-49ers
Terrance Mitchell,2023,san-francisco-49ers
Jake Moody,2023,san-francisco-49ers
Jaylon Moore,2023,san-francisco-49ers
Tre Norwood,2023,san-francisco-49ers
George Odum,2023,san-francisco-49ers
Sam Okuayinonu,2023,san-francisco-49ers
Isaiah Oliver,2023,san-francisco-49ers
Taybor Pepper,2023,san-francisco-49ers
Matt Pryor,2023,san-francisco-49ers
Brock Purdy,2023,san-francisco-49ers
Curtis Robinson,2023,san-francisco-49ers
Logan Ryan,2023,san-francisco-49ers
Deebo Samuel Sr.,2023,san-francisco-49ers
Kendall Sheffield,2023,san-francisco-49ers
Willie Snead,2023,san-francisco-49ers
Taylor Stallworth,2023,san-francisco-49ers
Tre Swilling,2023,san-francisco-49ers
Ambry Thomas,2023,san-francisco-49ers
Jake Tonges,2023,san-francisco-49ers
Jason Verrett,2023,san-francisco-49ers
Spencer Waege,2023,san-francisco-49ers
Charvarius Ward,2023,san-francisco-49ers
Fred Warner,2023,san-francisco-49ers
Leroy Watson IV,2023,san-francisco-49ers
Trent Williams,2023,san-francisco-49ers
Brayden Willis,2023,san-francisco-49ers
Isaiah Winstead,2023,san-francisco-49ers
Dee Winters,2023,san-francisco-49ers
Mitch Wishnowsky,2023,san-francisco-49ers
Charlie Woerner,2023,san-francisco-49ers
Samuel Womack,2023,san-francisco-49ers
Chase Young,2023,san-francisco-49ers
Nick Zakelj,2023,san-francisco-49ers
Israel Abanikanda,2024,san-francisco-49ers
Brandon Aiyuk,2024,san-francisco-49ers
Isaac Alarcon,2024,san-francisco-49ers
Brandon Allen,2024,san-francisco-49ers
Adrian Amos,2024,san-francisco-49ers
Evan Anderson,2024,san-francisco-49ers
Tre Avery,2024,san-francisco-49ers
Aaron Banks,2024,san-francisco-49ers
Alex Barrett,2024,san-francisco-49ers
Ben Bartch,2024,san-francisco-49ers
Robert Beal Jr.,2024,san-francisco-49ers
Ronnie Bell,2024,san-francisco-49ers
Tatum Bethune,2024,san-francisco-49ers
Nick Bosa,2024,san-francisco-49ers
Jake Brendel,2024,san-francisco-49ers
Ji'Ayir Brown,2024,san-francisco-49ers
Shakel Brown,2024,san-francisco-49ers
Spencer Burford,2024,san-francisco-49ers
De'Vondre Campbell,2024,san-francisco-49ers
Anders Carlson,2024,san-francisco-49ers
Maliek Collins,2024,san-francisco-49ers
Chris Conley,2024,san-francisco-49ers
Jacob Cowing,2024,san-francisco-49ers
Kalia Davis,2024,san-francisco-49ers
Khalil Davis,2024,san-francisco-49ers
Joshua Dobbs,2024,san-francisco-49ers
Dieter Eiselen,2024,san-francisco-49ers
Jordan Elliott,2024,san-francisco-49ers
Jon Feliciano,2024,san-francisco-49ers
Demetrius Flannigan-Fowles,2024,san-francisco-49ers
Leonard Floyd,2024,san-francisco-49ers
Russell Gage,2024,san-francisco-49ers
Jonathan Garvin,2024,san-francisco-49ers
Tashaun Gipson,2024,san-francisco-49ers
Kevin Givens,2024,san-francisco-49ers
Jalen Graham,2024,san-francisco-49ers
Renardo Green,2024,san-francisco-49ers
Dre Greenlaw,2024,san-francisco-49ers
Yetur Gross-Matos,2024,san-francisco-49ers
Isaac Guerendo,2024,san-francisco-49ers
Sebastian Gutierrez,2024,san-francisco-49ers
Javon Hargrave,2024,san-francisco-49ers
Charlie Heck,2024,san-francisco-49ers
Matt Hennessy,2024,san-francisco-49ers
Chris Hubbard,2024,san-francisco-49ers
Talanoa Hufanga,2024,san-francisco-49ers
Drake Jackson,2024,san-francisco-49ers
Tarron Jackson,2024,san-francisco-49ers
Jauan Jennings,2024,san-francisco-49ers
Zack Johnson,2024,san-francisco-49ers
Kyle Juszczyk,2024,san-francisco-49ers
George Kittle,2024,san-francisco-49ers
Deommodore Lenoir,2024,san-francisco-49ers
Chase Lucas,2024,san-francisco-49ers
Darrell Luter Jr.,2024,san-francisco-49ers
Jaylen Mahoney,2024,san-francisco-49ers
Terrace Marshall Jr.,2024,san-francisco-49ers
Jordan Mason,2024,san-francisco-49ers
Christian McCaffrey,2024,san-francisco-49ers
Nick McCloud,2024,san-francisco-49ers
T.Y. McGill,2024,san-francisco-49ers
Colton McKivitz,2024,san-francisco-49ers
Elijah Mitchell,2024,san-francisco-49ers
Jake Moody,2024,san-francisco-49ers
Jaylon Moore,2024,san-francisco-49ers
Tanner Mordecai,2024,san-francisco-49ers
Malik Mustapha,2024,san-francisco-49ers
Drake Nugent,2024,san-francisco-49ers
Pat O'Donnell,2024,san-francisco-49ers
George Odum,2024,san-francisco-49ers
Sam Okuayinonu,2024,san-francisco-49ers
Terique Owens,2024,san-francisco-49ers
Ricky Pearsall,2024,san-francisco-49ers
Taybor Pepper,2024,san-francisco-49ers
Austen Pleasants,2024,san-francisco-49ers
Mason Pline,2024,san-francisco-49ers
Dominick Puni,2024,san-francisco-49ers
Brock Purdy,2024,san-francisco-49ers
Curtis Robinson,2024,san-francisco-49ers
Deebo Samuel Sr.,2024,san-francisco-49ers
Eric Saubert,2024,san-francisco-49ers
Nesta Jade Silvera,2024,san-francisco-49ers
Patrick Taylor,2024,san-francisco-49ers
Trent Taylor,2024,san-francisco-49ers
Ambry Thomas,2024,san-francisco-49ers
Jake Tonges,2024,san-francisco-49ers
Malik Turner,2024,san-francisco-49ers
Ke'Shawn Vaughn,2024,san-francisco-49ers
Tracy Walker III,2024,san-francisco-49ers
Charvarius Ward,2024,san-francisco-49ers
Fred Warner,2024,san-francisco-49ers
DaShaun White,2024,san-francisco-49ers
Trent Williams,2024,san-francisco-49ers
Brayden Willis,2024,san-francisco-49ers
Dee Winters,2024,san-francisco-49ers
Mitch Wishnowsky,2024,san-francisco-49ers
Chandler Wooten,2024,san-francisco-49ers
Matthew Wright,2024,san-francisco-49ers
Rock Ya-Sin,2024,san-francisco-49ers
Isaac Yiadom,2024,san-francisco-49ers
Nick Zakelj,2024,san-francisco-49ers
Brandon Aiyuk,2025,san-francisco-49ers
Isaac Alarcon,2025,san-francisco-49ers
Evan Anderson,2025,san-francisco-49ers
Robbie Chosen,2025,san-francisco-49ers
Eli Apple,2025,san-francisco-49ers
Ben Bartch,2025,san-francisco-49ers
Robert Beal Jr.,2025,san-francisco-49ers
Junior Bergen,2025,san-francisco-49ers
Tatum Bethune,2025,san-francisco-49ers
Nick Bosa,2025,san-francisco-49ers
Jake Brendel,2025,san-francisco-49ers
Ji'Ayir Brown,2025,san-francisco-49ers
Spencer Burford,2025,san-francisco-49ers
Derrick Canteen,2025,san-francisco-49ers
Connor Colby,2025,san-francisco-49ers
Alfred Collins,2025,san-francisco-49ers
Jacob Cowing,2025,san-francisco-49ers
Kalia Davis,2025,san-francisco-49ers
Jordan Elliott,2025,san-francisco-49ers
Luke Farrell,2025,san-francisco-49ers
Russell Gage,2025,san-francisco-49ers
Luke Gifford,2025,san-francisco-49ers
Trevis Gipson,2025,san-francisco-49ers
Kevin Givens,2025,san-francisco-49ers
Jalen Graham,2025,san-francisco-49ers
Renardo Green,2025,san-francisco-49ers
Yetur Gross-Matos,2025,san-francisco-49ers
Isaac Guerendo,2025,san-francisco-49ers
Matt Hennessy,2025,san-francisco-49ers
Tre Tomlinson,2025,san-francisco-49ers
Bryce Huff,2025,san-francisco-49ers
Tarron Jackson,2025,san-francisco-49ers
Jordan James,2025,san-francisco-49ers
Jordan Jefferson,2025,san-francisco-49ers
Jauan Jennings,2025,san-francisco-49ers
Mac Jones,2025,san-francisco-49ers
Kyle Juszczyk,2025,san-francisco-49ers
George Kittle,2025,san-francisco-49ers
Deommodore Lenoir,2025,san-francisco-49ers
Chase Lucas,2025,san-francisco-49ers
Darrell Luter Jr.,2025,san-francisco-49ers
Nick Martin,2025,san-francisco-49ers
Adrian Martinez,2025,san-francisco-49ers
